node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.18,245,7.5,0.86,270,4.5,1.0,112,28.1,21.4,254,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.14,245,7.25,0.82,267,4.55,1.0,112,27.8,22.5,250,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.14,245,7.25,0.82,267,4.55,1.0,112,27.8,14.5,249,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.96,244,6.9,0.66,264,4.6,1.0,112,27.5,14.5,249,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.96,244,6.9,0.66,264,4.6,1.0,112,27.5,14.5,249,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.84,246,6.35,0.62,262,4.45,0.6,108,27.3,13.1,247,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.24,243,7.8,0.88,266,4.5,1.0,121,28.1,21.7,256,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.18,243,7.7,0.84,266,4.5,1.2,117,27.9,21.7,256,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,241,7.6,0.78,262,5.0,1.0,121,27.5,21.4,252,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,241,7.6,0.78,262,5.0,1.0,121,27.5,14.5,249,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.96,236,7.45,0.52,214,7.4,0.8,117,27.3,14.5,249,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.96,236,7.45,0.52,214,7.4,0.8,117,27.3,14.5,249,0.0,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.22,242,7.7,0.86,262,4.5,1.2,129,27.8,21.8,259,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.22,242,7.7,0.86,262,4.5,1.2,129,27.8,21.7,256,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.18,242,7.7,0.84,262,4.5,1.2,129,27.5,21.7,256,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,239,7.8,0.78,257,5.3,0.8,117,27.2,14.4,252,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,239,7.8,0.78,257,5.3,0.8,117,27.2,14.5,249,0.0,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,0.96,236,7.45,0.52,214,7.4,0.5,135,27.2,14.5,249,0.0,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.22,242,7.7,0.86,262,4.5,1.2,129,27.8,23.1,260,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.18,242,7.7,0.84,262,4.5,1.2,129,27.5,22.1,257,0.0,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.18,242,7.7,0.84,262,4.5,1.2,129,27.5,14.4,252,0.0,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,239,7.8,0.78,257,5.3,0.8,117,27.2,14.4,252,0.0,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.12,239,7.8,0.78,257,5.3,0.8,117,27.2,14.4,252,0.0,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.24,244,7.65,0.88,267,4.5,0.9,127,27.6,23.1,260,0.0,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-26T18:15,1.2,242,7.65,0.86,262,4.5,1.0,135,27.3,23.1,260,0.0,True,No hazard
