node_id,latitude,longitude,distance_to_coast_m,distance_to_coast_km,distance_to_coast_nm,inside_12nm_maritime_zone,distance_to_12nm_boundary_nm,maritime_zone_status,geofence_source
GJ-VER-0001,20.87516585,70.07678103,21783.534769939946,21.784,11.762,True,0.238,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0002,20.92017704,70.07530903,18252.516362003087,18.253,9.856,True,2.144,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0003,20.9651879,70.07383312,14721.770158034475,14.722,7.949,True,4.051,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0004,21.01019843,70.0723533,11102.27510079705,11.102,5.995,True,6.005,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0005,21.05520861,70.07086956,7334.53341391756,7.335,3.96,True,8.04,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0006,21.10021846,70.06938189,3567.0442496691526,3.567,1.926,True,10.074,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0007,20.83152605,70.12612866,21813.68558475195,21.814,11.778,True,0.209,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0008,20.87654082,70.12467471,18265.309290113197,18.265,9.862,True,2.138,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0009,20.92155525,70.12321689,14734.020407787111,14.734,7.956,True,4.044,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0010,20.96656935,70.1217552,11203.00380968038,11.203,6.049,True,5.951,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0011,21.01158311,70.12028964,7672.259812690085,7.672,4.143,True,7.857,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0012,21.05659653,70.11882019,4070.8224929995895,4.071,2.198,True,9.802,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0013,20.7878662,70.17544804,22690.504806853623,22.691,12.252,False,0.252,OUTSIDE_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0014,20.8328845,70.17401206,18775.06292119809,18.775,10.138,True,1.862,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0015,20.87790246,70.17257226,14772.430830930298,14.772,7.976,True,4.011,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0016,20.9229201,70.17112863,11215.251400048302,11.215,6.056,True,5.944,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0017,20.9679374,70.16968116,7683.965543300506,7.684,4.149,True,7.851,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0018,21.01295437,70.16822986,4152.9515641934795,4.153,2.242,True,9.758,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
GJ-VER-0019,20.78920817,70.22332115,19287.477280252362,19.287,10.414,True,1.581,WITHIN_12_NM_MARITIME_ZONE,CRZ-IV maritime zone concept (12 nautical miles)
