node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type,distance_from_veraval_nm,distance_from_veraval_km
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.22,238,8.3,1.74,239,7.05,2.3,122,26.9,30.8,248,0.0,True,No hazard,15.957,29.552
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.1,240,8.3,1.68,240,7.1,2.3,122,26.6,30.4,248,0.0,True,No hazard,16.013,29.656
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.1,240,8.3,1.68,240,7.1,2.3,122,26.6,19.2,248,0.0,True,No hazard,16.518,30.591
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.68,239,8.5,1.42,241,7.2,2.2,125,26.3,19.2,248,0.0,True,No hazard,17.433,32.285
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.68,239,8.5,1.42,241,7.2,2.2,125,26.3,19.2,248,0.0,True,No hazard,18.697,34.626
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.46,241,8.3,1.28,242,7.1,1.9,124,26.0,17.6,247,0.0,True,No hazard,20.245,37.494
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.34,237,8.4,1.9,238,7.05,2.5,120,27.0,31.3,248,0.0,True,No hazard,13.75,25.465
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.22,237,8.35,1.78,238,7.0,2.6,124,26.7,31.3,248,0.0,True,No hazard,13.275,24.586
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,237,8.4,1.68,238,7.0,2.4,126,26.4,29.5,248,0.0,True,No hazard,13.343,24.711
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,237,8.4,1.68,238,7.0,2.4,126,26.4,19.2,248,0.0,True,No hazard,13.945,25.827
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.66,233,8.65,1.42,236,7.0,2.2,132,26.2,19.2,248,0.0,True,No hazard,15.018,27.812
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.66,233,8.65,1.42,236,7.0,2.2,132,26.2,19.2,248,0.0,True,No hazard,16.468,30.5
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.32,237,8.35,1.88,237,7.05,2.7,118,26.8,31.4,248,0.0,True,No hazard,12.352,22.875
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.32,237,8.35,1.88,237,7.05,2.7,118,26.8,31.3,248,0.0,True,No hazard,11.185,20.716
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.22,237,8.35,1.82,237,7.0,2.6,124,26.4,31.3,248,0.0,True,No hazard,10.597,19.626
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,236,8.45,1.76,237,6.9,2.3,122,26.2,19.7,249,0.0,True,No hazard,10.682,19.783
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,236,8.45,1.76,237,6.9,2.3,122,26.2,19.2,248,0.0,True,No hazard,11.426,21.16
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,1.66,233,8.65,1.42,236,7.0,1.9,131,26.4,19.2,248,0.0,True,No hazard,12.712,23.543
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.32,237,8.35,1.88,237,7.05,2.7,118,26.8,32.8,249,0.0,True,No hazard,10.152,18.802
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.22,237,8.35,1.82,237,7.0,2.6,124,26.4,31.7,250,0.0,True,No hazard,8.696,16.105
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.22,237,8.35,1.82,237,7.0,2.6,124,26.4,19.7,249,0.0,True,No hazard,7.925,14.677
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,236,8.45,1.76,237,6.9,2.3,122,26.2,19.7,249,0.0,True,No hazard,8.039,14.888
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.08,236,8.45,1.76,237,6.9,2.3,122,26.2,19.7,249,0.0,True,No hazard,9.004,16.675
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.36,239,8.3,1.9,240,7.05,2.6,115,26.7,32.8,249,0.0,True,No hazard,10.492,19.432
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.28,237,8.3,1.84,237,7.05,2.7,118,26.2,32.8,249,0.0,True,No hazard,8.248,15.274
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,2.5,120,26.0,20.1,250,0.0,True,No hazard,6.37,11.798
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,2.5,120,26.0,19.7,249,0.0,True,No hazard,5.27,9.76
GJ-VER-0028,20.92560971,70.26696356,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,1.9,131,25.9,19.7,249,0.0,True,No hazard,5.44,10.075
GJ-VER-0029,20.7017959,70.32185479,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.36,239,8.3,1.9,240,7.05,2.6,115,26.7,31.1,249,0.0,True,No hazard,12.091,22.393
GJ-VER-0030,20.74682427,70.32046858,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.36,239,8.3,1.9,240,7.05,2.6,115,26.7,31.6,249,0.0,True,No hazard,9.461,17.521
GJ-VER-0031,20.7918523,70.31907867,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.28,237,8.3,1.84,237,7.05,2.7,118,26.2,31.6,249,0.0,True,No hazard,6.887,12.755
GJ-VER-0032,20.83688002,70.31768506,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,2.5,120,26.0,20.1,250,0.0,True,No hazard,4.472,8.282
GJ-VER-0033,20.8819074,70.31628773,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,2.5,120,26.0,20.1,250,0.0,True,No hazard,2.682,4.967
GJ-VER-0034,20.92693447,70.31488669,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.18,237,8.35,1.82,237,6.95,1.9,131,25.9,19.7,249,0.0,True,No hazard,3.003,5.561
GJ-VER-0035,20.70309191,70.36971098,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.28,239,8.3,1.82,240,7.05,2.7,113,26.5,31.1,249,0.0,True,No hazard,11.835,21.918
GJ-VER-0036,20.74812334,70.36833883,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.28,239,8.3,1.82,240,7.05,2.7,113,26.5,31.6,249,0.0,True,No hazard,9.131,16.91
GJ-VER-0037,20.79315445,70.36696301,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.2,237,8.3,1.8,237,7.0,2.7,118,26.1,31.6,249,0.0,True,No hazard,6.427,11.903
GJ-VER-0038,20.83818524,70.36558353,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.1,237,8.35,1.78,237,6.85,2.5,120,25.8,20.1,250,0.0,True,No hazard,3.725,6.898
GJ-VER-0039,20.88321571,70.36420037,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.1,237,8.35,1.78,237,6.85,2.5,120,25.8,20.1,250,0.0,True,No hazard,1.035,1.917
GJ-VER-0040,20.65933989,70.4189253,Gir Somnath,22.2 km seaward operational buffer,2026-09-01T00:15,2.28,241,8.2,1.8,240,7.0,2.8,108,26.6,29.7,250,0.0,True,No hazard,14.823,27.452
